"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","GEOMETRY","AREA","map_class"
"40","1.57504496171424","15.9058728521259","467","0.0102366506769861","1.24713984476054","Sangha","Republic of Congo","points","1","12"
"104","1.268499415823","16.4050577882968","343","0.00480514184753477","5.99888077862375","Sangha","Republic of Congo","points","1","31"
"227","1.29230877861067","16.7394711113902","364","0.0061649374812651","5.11962534588075","Sangha","Republic of Congo","points","1","12"
"140","1.43218878498822","16.3222661403465","375","0.0103213917827862","4.26378510267012","Sangha","Republic of Congo","points","1","31"
"175","1.4454462710859","16.1050057047122","369","0.00339405005917222","6.24346133654799","Sangha","Republic of Congo","points","1","12"
"25","1.3783471577752","16.8430959517986","349","0.00575603524073813","0.260515739128623","Likouala","Republic of Congo","points","1","12"
"172","1.53581362530274","15.8858513424908","464","0.00973131852892341","1.75301850268483","Sangha","Republic of Congo","points","1","12"
"135","1.30664850847142","16.7040276281173","363","0.0151878972325823","2.60096902883842","Sangha","Republic of Congo","points","1","12"
"229","1.55935242714964","15.9177775335305","455","0.00255499874168213","2.58584104492423","Sangha","Republic of Congo","points","1","12"
"58","1.32423496962141","16.7048393109404","385","0.0063196187700691","2.29886566037583","Sangha","Republic of Congo","points","1","12"
"22","1.20843488697229","16.7692328149017","368","0.00709183589685349","1.72442450188883","Sangha","Republic of Congo","points","1","31"
"145","1.27580456122376","16.7197201626962","359","0.00894146685115226","5.2192952841005","Sangha","Republic of Congo","points","1","12"
"233","1.2963671927222","16.7500229880897","352","0.0137666541341896","2.06344128875102","Sangha","Republic of Congo","points","1","12"
"121","1.27796904874991","15.8219989604115","450","0.00604530105359986","0.59121705032528","Sangha","Republic of Congo","points","1","12"
"105","1.48359536373433","15.9102018271821","432","0.00365112802788957","2.25443960987773","Sangha","Republic of Congo","points","1","12"
"181","1.28527419415068","16.7505641099718","344","0.0126716704878444","1.59220763572788","Sangha","Republic of Congo","points","1","12"
"109","1.21979844648459","15.9180480944715","406","0.00999463016591537","1.19560105708414","Sangha","Republic of Congo","points","1","31"
"100","1.4768313402151","15.8969443410724","433","0.0062983357028953","2.1140363447535","Sangha","Republic of Congo","points","1","12"
"133","0.848859396690336","16.601214470532","338","0.00326036601859041","5.14151116269685","Sangha","Republic of Congo","points","1","12"
"193","1.14593530965466","15.9321172634042","446","0.0113791547913469","1.3300601396059","Sangha","Republic of Congo","points","1","31"
"15","1.45302197742743","15.8449966403977","470","0.00589053775916749","1.85078976408382","Sangha","Republic of Congo","points","1","12"
"253","1.40350932526671","15.8679943203839","432","0.00413409787715702","2.59279755949807","Sangha","Republic of Congo","points","1","12"
"287","1.31476533669449","16.7086271641146","367","0.0154545217734973","2.49594240638122","Sangha","Republic of Congo","points","1","12"
"101","1.48548929031971","16.1564122835049","347","0.0051409067745714","4.18722240756811","Sangha","Republic of Congo","points","1","12"
"186","1.41379064101593","16.3439110156276","369","0.00441563594444722","3.32578247347225","Sangha","Republic of Congo","points","1","31"
"269","1.54907111140042","15.9583616746826","438","0.0230945708203614","0.674385054135405","Sangha","Republic of Congo","points","1","12"
"56","1.38889903446519","16.3390409186894","348","0.0159162070192866","4.5237803693645","Sangha","Republic of Congo","points","1","12"
"176","1.30854243505681","16.7018631405892","373","0.0142653203576825","2.48035242973712","Sangha","Republic of Congo","points","1","12"
"77","1.31638870233911","16.7048393109404","373","0.0142653203576825","2.48035242973712","Sangha","Republic of Congo","points","1","12"
"144","1.38105276718289","16.7037570671763","399","0.00218715954664389","3.01802623424401","Sangha","Republic of Congo","points","1","12"
"110","1.36644247638136","16.679136021544","372","0.00463247308020497","3.4982531237576","Sangha","Republic of Congo","points","1","12"
"294","1.46249161035435","16.3363353092792","396","0.00732526173758184","3.1415926535898","Sangha","Republic of Congo","points","1","31"
"277","1.48873602160894","15.8945092926033","442","0.00371790006564065","2.5666061078981","Sangha","Republic of Congo","points","1","12"
"174","1.42407195676515","15.8606891749765","441","0.00768247572984637","2.25966904224419","Sangha","Republic of Congo","points","1","12"
"123","1.39458081422134","16.159117892915","360","0.00222381001436236","1.81728988792456","Sangha","Republic of Congo","points","1","12"
"87","0.832355179303429","15.8298452277009","357","0.0166236430411668","2.09178510613736","Sangha","Republic of Congo","points","1","13"
"122","1.02228895972324","16.3677203784369","353","0.00959229227309682","4.78315650275624","Sangha","Republic of Congo","points","1","13"
"209","0.855352859268791","16.6123074691136","337","0.002341307215555","0.173545185308902","Sangha","Republic of Congo","points","1","13"
"177","1.17488533031694","16.3436404546866","357","0.0155766146689412","0.495924159841997","Sangha","Republic of Congo","points","1","13"
"99","1.20329422909768","16.3923414240692","332","0.00231007306405417","3.083216406404","Sangha","Republic of Congo","points","1","13"
"239","1.14404138306928","16.7281075518676","341","0.00658171933989913","5.20626782561913","Sangha","Republic of Congo","points","1","13"
"26","1.48873602160894","16.3950470334793","383","0.0051548603590146","0","Sangha","Republic of Congo","points","1","13"
"158","1.06422590554243","16.831461831335","330","0.00121175946060387","0.461034780253425","Likouala","Republic of Congo","points","1","13"
"195","1.52120333450121","16.4981307520056","344","0.0119483678567748","1.2830173784102","Sangha","Republic of Congo","points","1","13"
"90","0.874562686063388","16.8650113880207","332","0.000191215638404525","0.782097497408081","Likouala","Republic of Congo","points","1","13"
"115","1.16514513644926","15.8590658093304","401","0.00386046067948599","1.35836505613307","Sangha","Republic of Congo","points","1","13"
"156","1.27418119557915","16.8217216374585","338","0.00803803295282821","0.82975949537023","Likouala","Republic of Congo","points","1","13"
"153","1.16406289268618","16.1252977752883","372","0.00742711619506333","1.84831305185159","Sangha","Republic of Congo","points","1","13"
"85","1.02445344724939","16.3639325252627","347","0.000976261810132872","5.69820571333204","Sangha","Republic of Congo","points","1","13"
"212","1.51985052979737","16.50462421459","343","0.00139457238244181","2.63719153724497","Sangha","Republic of Congo","points","1","13"
"188","1.03771093334707","16.022755178644","364","0.00534104622406702","1.74953545963505","Sangha","Republic of Congo","points","1","13"
"150","0.995232865646346","16.8081935904078","334","0.000691535972517078","0.196136718648271","Likouala","Republic of Congo","points","1","13"
"8","1.54988279422272","16.0784907324928","361","0.00095619593964934","0.782221741452088","Sangha","Republic of Congo","points","1","13"
"237","1.11319743582161","16.7318954050418","342","0.00437429144306295","3.26514669346594","Sangha","Republic of Congo","points","1","13"
"70","1.03392308017631","16.3414759671585","352","0.00384096596979866","2.25973948604452","Sangha","Republic of Congo","points","1","13"
"232","1.3034017771822","16.3612269158525","348","0.00850082112485509","1.52290541613708","Sangha","Republic of Congo","points","1","13"
"34","1.39809810645133","15.9069550958899","400","0.00754895112526244","1.14471629225816","Sangha","Republic of Congo","points","1","13"
"192","1.52282670014583","16.5165288959946","343","0.0100810881405538","4.09536957981108","Sangha","Republic of Congo","points","1","13"
"124","1.54284820976273","16.6155542004057","365","0.00418086383622232","1.53834407526646","Sangha","Republic of Congo","points","1","13"
"259","1.19517740087461","16.3482399906839","349","0.00842488663503251","3.87833238018097","Sangha","Republic of Congo","points","1","13"
"107","0.836954715296502","16.8393080986244","332","0.000382429615223755","5.50109214656566","Likouala","Republic of Congo","points","1","13"
"274","1.56773981631347","15.9932640360734","387","0.00644630617951113","6.02954741653028","Sangha","Republic of Congo","points","1","13"
"138","1.14512362683235","16.4129040555862","339","0.00936215843920079","0.383615526652833","Sangha","Republic of Congo","points","1","13"
"180","1.26308819700762","16.581463521838","357","0.000956138360108852","3.92375378843288","Sangha","Republic of Congo","points","1","13"
"23","1.42650700523207","15.9973224501886","421","0.0082632627457441","3.83108845097409","Sangha","Republic of Congo","points","1","13"
"66","1.42380139582439","16.4207503228756","367","0.00860621116332387","0.804414768151113","Sangha","Republic of Congo","points","1","13"
"217","1.29609663178143","16.4713452188453","332","0.00145294448094381","4.32964942098315","Sangha","Republic of Congo","points","1","13"
"116","1.18462552418462","16.1739987446708","354","0.0013945275926655","2.63724972235158","Sangha","Republic of Congo","points","1","13"
"4","1.0374403724063","16.8292973438069","331","0.00133854089634485","0.782121720456545","Likouala","Republic of Congo","points","1","13"
"2","1.56773981631347","16.8742104600152","344","0.00344641023987481","0.837744585310485","Likouala","Republic of Congo","points","1","13"
"285","1.40783830031902","16.0222140567619","404","0.019257103984709","1.733515424411","Sangha","Republic of Congo","points","1","13"
"72","0.852647249861102","16.7432589645644","334","0.00152972060530512","2.35949734573702","Likouala","Republic of Congo","points","1","13"
"166","0.873751003241081","16.7692328149017","334","0.00120695594908795","2.0370897117274","Likouala","Republic of Congo","points","1","13"
"73","1.54176596599965","16.0519757602735","360","0.00747862410634277","0.55000626642944","Sangha","Republic of Congo","points","1","13"
"14","1.52607343143505","16.4986718738877","344","0.00688648673620291","1.5116664556704","Sangha","Republic of Congo","points","1","13"
"290","1.22439798247766","16.563065377849","356","0.00108524294633431","3.14159265358981","Sangha","Republic of Congo","points","1","13"
"91","1.06152029613474","15.9497037245702","369","0.00145974160829259","3.51984750366607","Sangha","Republic of Congo","points","1","13"
"267","1.27418119557915","16.8430959517986","329","0.00270681502002011","5.64278739180425","Likouala","Republic of Congo","points","1","13"
"54","1.11211519205854","16.8560828769672","329","0.00122051586963917","1.6821723628364","Likouala","Republic of Congo","points","1","13"
"202","0.827755643310357","16.1174515079989","353","0.00811987687409955","2.50126242854769","Sangha","Republic of Congo","points","1","13"
"211","0.881597270523381","16.620694858285","345","0.0135944433655039","2.52908050891902","Sangha","Republic of Congo","points","1","13"
"112","1.45004580707897","16.1742693056118","349","0.00330483137245682","2.53386764525953","Sangha","Republic of Congo","points","1","13"
